RBG_CYC_83758_Nw_c0_41V_40C_180416_Lowercutoff_100DOD_C3C3_0000_11_3 (300407 Points)
Capacity (mAh)	Voltage (V)
56.05	3.7791
61.66	3.7549
67.26	3.7313
72.87	3.7093
78.47	3.6886
84.08	3.669
89.68	3.6511
95.29	3.6356
100.89	3.6216
106.5	3.6092
112.1	3.5977
117.71	3.5875
123.31	3.5766
128.92	3.5667
134.52	3.5565
140.13	3.5453
145.73	3.5339
151.34	3.5205
156.94	3.5053
162.55	3.4877
168.15	3.4681
173.76	3.4499
179.36	3.4343
184.97	3.4188
190.57	3.4009
196.18	3.3795
201.78	3.3475
206.66	3.2973
207.39	3.2868
209.98	3.2366
211.93	3.1866
212.99	3.155
214.39	3.1048
215.57	3.054
216.52	3.0037
216.62	2.9991
0	3.0747
0.22	3.1262
0.78	3.177
1.74	3.2273
3.14	3.2775
5.08	3.3277
5.61	3.3389
8.22	3.3891
11.21	3.4331
16.82	3.4669
22.42	3.4812
28.03	3.4951
33.63	3.5091
39.24	3.5233
44.84	3.5394
50.45	3.5574
56.05	3.5754
61.66	3.5937
67.26	3.6098
72.87	3.6228
78.47	3.6337
84.08	3.6424
89.68	3.6514
95.29	3.66
100.89	3.6693
106.5	3.6793
112.1	3.6914
117.71	3.7041
123.31	3.7189
128.92	3.7351
134.52	3.7537
140.13	3.7748
145.73	3.7971
151.34	3.8203
156.94	3.8448
162.55	3.8693
168.15	3.8938
173.76	3.9183
179.36	3.9434
184.97	3.9685
190.57	3.9942
196.18	4.0203
201.78	4.0469
207.39	4.0745
212.88	4.0981
215.62	4.0981
216.64	4.0981
0	4.0873
5.61	4.0414
11.21	4.0091
16.82	3.9781
22.42	3.9474
28.03	3.9161
33.63	3.8848
39.24	3.856
44.84	3.8287
50.45	3.8033
56.05	3.7788
61.66	3.7549
67.26	3.7313
72.87	3.709
78.47	3.6879
84.08	3.6684
89.68	3.6507
95.29	3.6352
100.89	3.6213
106.5	3.6089
112.1	3.5974
117.71	3.5869
123.31	3.5766
128.92	3.5667
134.52	3.5562
140.13	3.545
145.73	3.5332
151.34	3.5199
156.94	3.5047
162.55	3.4877
168.15	3.4678
173.76	3.4492
179.36	3.434
184.97	3.4185
190.57	3.4006
196.18	3.3795
201.78	3.3472
206.58	3.2967
207.39	3.2849
209.93	3.2347
211.91	3.1845
212.99	3.1522
214.37	3.102
215.53	3.0518
216.48	3.0016
216.52	2.9994
0	3.0822
0.32	3.1324
0.92	3.1832
1.94	3.2335
3.48	3.2843
5.47	3.3345
5.61	3.337
8.2	3.3872
11.21	3.4319
16.82	3.4666
22.42	3.4812
28.03	3.4948
33.63	3.5088
39.24	3.5233
44.84	3.5388
50.45	3.5568
56.05	3.5751
61.66	3.5934
