RBG_CYC_83755_Nw_c0_41V_40C_180416_Lowercutoff_100DOD_C5C5_0000_08_1 (269953 Points)
Time (s)	Current (mAh)
208143	-40.38
208443	-40.39
208743	-40.39
209043	-40.38
209343	-40.38
209643	-40.38
209943	-40.38
210243	-40.38
210543	-40.38
210843	-40.38
211143	-40.38
211443	-40.38
211743	-40.38
212043	-40.38
212343	-40.38
212643	-40.38
212943	-40.39
213243	-40.38
213543	-40.38
213843	-40.38
214143	-40.38
214443	-40.38
214699	-40.38
214743	-40.38
214927	-40.39
215043	-40.38
215174	-40.38
215283	-40.38
215343	-40.38
215395	-40.38
215396	40.39
215413	40.38
215460	40.38
215547	40.38
215672	40.38
215695	40.38
215865	40.38
215995	40.39
216249	40.38
216295	40.39
216595	40.38
216895	40.38
217195	40.38
217495	40.39
217795	40.38
218095	40.38
218395	40.38
218695	40.39
218995	40.38
219295	40.38
219595	40.38
219895	40.39
220195	40.38
220495	40.38
220795	40.38
221095	40.38
221395	40.39
221695	40.38
221995	40.38
222295	40.38
222595	40.38
222895	40.38
223195	40.38
223495	40.38
223795	40.38
224095	40.39
224395	40.38
224695	40.38
224995	40.38
225296	40.38
225596	40.38
225896	40.38
226196	40.38
226496	40.38
226796	40.39
227096	40.39
227396	40.38
227695	40.39
227995	40.38
228295	40.39
228595	40.38
228895	40.38
229195	40.38
229495	40.38
229795	40.39
230095	40.38
230395	40.39
230695	40.39
230995	40.38
231295	40.38
231595	40.38
231895	40.38
232195	40.39
232495	40.38
232795	40.38
233095	40.38
233395	40.38
233695	40.38
233995	40.38
234295	40.38
234595	40.38
234895	21.69
235195	10.78
235228	10.08
235229	-40.38
235529	-40.38
235829	-40.38
236129	-40.38
236429	-40.39
236729	-40.39
237029	-40.38
237329	-40.38
237629	-40.38
237929	-40.38
238229	-40.38
238529	-40.39
238829	-40.38
239129	-40.38
239429	-40.38
239729	-40.38
240029	-40.38
240329	-40.39
240629	-40.38
240929	-40.38
241229	-40.38
241529	-40.39
241829	-40.38
